8.1665 	EXP 	Device response: <KeyPress from None: t=8.15323390008416, value=b, duration=None>
8.1668 	EXP 	New trial (rep=1, index=2): <Trial 6 (2 in rep 1) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_res': 'r', 'thisN': 6, 'thisTrialN': 2, 'thisRepN': 1}>
8.1682 	DATA 	Keypress: b
8.1829 	EXP 	fixation: autoDraw = False
8.1829 	EXP 	text: autoDraw = False
8.1829 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.1829 	EXP 	text: text = 'BLUE'
8.1829 	EXP 	fixation: autoDraw = True
8.3333 	EXP 	Device response: <KeyPress from None: t=8.15323390008416, value=b, duration=0.16869520000182092>
8.6665 	INFO 	Keyboard events cleared
8.6663 	EXP 	fixation: autoDraw = False
8.6663 	EXP 	text: autoDraw = True
9.2666 	EXP 	Device response: <KeyPress from None: t=9.26290010008961, value=b, duration=None>
9.2669 	EXP 	New trial (rep=1, index=3): <Trial 7 (3 in rep 1) data={'word': 'RED', 'colour': 'red', 'stim_condition': 'c', 'correct_res': 'r', 'thisN': 7, 'thisTrialN': 3, 'thisRepN': 1}>
9.2713 	DATA 	Keypress: b
9.2831 	EXP 	fixation: autoDraw = False
9.2831 	EXP 	text: autoDraw = False
9.2831 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
9.2831 	EXP 	text: height = np.float64(0.05)
9.2831 	EXP 	text: height = np.float64(0.05)
9.2831 	EXP 	text: height = np.float64(0.05)
9.2831 	EXP 	text: text = 'RED'
9.2831 	EXP 	fixation: autoDraw = True
9.4501 	EXP 	Device response: <KeyPress from None: t=9.26290010008961, value=b, duration=0.18025989993475378>
9.7664 	INFO 	Keyboard events cleared
9.7663 	EXP 	fixation: autoDraw = False
9.7663 	EXP 	text: autoDraw = True
10.2835 	EXP 	Device response: <KeyPress from None: t=10.282498800079338, value=r, duration=None>
10.2837 	EXP 	New trial (rep=2, index=0): <Trial 8 (0 in rep 2) data={'word': 'RED', 'colour': 'blue', 'stim_condition': 'I', 'correct_res': 'b', 'thisN': 8, 'thisTrialN': 0, 'thisRepN': 2}>
10.2853 	DATA 	Keypress: r
10.2999 	EXP 	fixation: autoDraw = False
10.2999 	EXP 	text: autoDraw = False
10.2999 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
10.2999 	EXP 	text: text = 'RED'
10.2999 	EXP 	fixation: autoDraw = True
10.4834 	EXP 	Device response: <KeyPress from None: t=10.282498800079338, value=r, duration=0.1954002999700606>
10.7831 	INFO 	Keyboard events cleared
10.7830 	EXP 	fixation: autoDraw = False
10.7830 	EXP 	text: autoDraw = True
11.3004 	EXP 	Device response: <KeyPress from None: t=11.290797800058499, value=b, duration=None>
11.3006 	EXP 	New trial (rep=2, index=1): <Trial 9 (1 in rep 2) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_res': 'r', 'thisN': 9, 'thisTrialN': 1, 'thisRepN': 2}>
11.3053 	DATA 	Keypress: b
11.3164 	EXP 	fixation: autoDraw = False
