thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
74,0,74,[np.float64(-0.2175925925925926)],[np.float64(-0.4601851851851852)],[1],[0],[0],[2.648564799921587],['target'],74,0,74,0,146.86074230005033,,5,146.85491710016504,146.86074230005033,146.86074230005033,0.019744700053706765,149.5036517002154,[np.float64(-0.2175925925925926)],[np.float64(-0.4601851851851852)],[1],[0],[0],[2.648564799921587],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
75,0,75,[np.float64(0.38796296296296295)],[np.float64(0.11018518518518519)],[1],[0],[0],[1.9049499998800457],['target'],75,0,75,0,149.53972090012394,,10,149.52939570019953,149.53972090012394,149.53972090012394,0.02556199999526143,151.43441170011647,[np.float64(0.38796296296296295)],[np.float64(0.11018518518518519)],[1],[0],[0],[1.9049499998800457],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
76,0,76,[np.float64(0.36944444444444446)],[np.float64(-0.17777777777777778)],[1],[0],[0],[1.4201603999827057],['target'],76,0,76,0,151.45456880005077,,5,151.44739670003764,151.45456880005077,151.45456880005077,0.012805199949070811,152.86761530023068,[np.float64(0.36944444444444446)],[np.float64(-0.17777777777777778)],[1],[0],[0],[1.4201603999827057],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
77,0,77,[np.float64(0.4046296296296296)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.6650211000815034],['target'],77,0,77,0,152.89552420005202,,10,152.8870815001428,152.89552420005202,152.89552420005202,0.019331499934196472,154.55228830012493,[np.float64(0.4046296296296296)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.6650211000815034],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
78,0,78,[np.float64(0.475)],[np.float64(-0.16296296296296298)],[1],[0],[0],[1.4893792998045683],['target'],78,0,78,0,154.6288054001052,,10,154.61152940010652,154.6288054001052,154.6288054001052,0.05877379979938269,156.10095950006507,[np.float64(0.475)],[np.float64(-0.16296296296296298)],[1],[0],[0],[1.4893792998045683],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
79,0,79,[np.float64(0.4083333333333333)],[np.float64(0.40555555555555556)],[1],[0],[0],[1.8467914001084864],['target'],79,0,79,0,156.14935720013455,,10,156.1380874000024,156.14935720013455,156.14935720013455,0.0369372998829931,157.98493400006555,[np.float64(0.4083333333333333)],[np.float64(0.40555555555555556)],[1],[0],[0],[1.8467914001084864],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
80,0,80,[np.float64(0.08333333333333333)],[np.float64(0.2361111111111111)],[1],[0],[0],[1.4167520999908447],['target'],80,0,80,0,158.01095380005427,,5,158.00292300013825,158.01095380005427,158.01095380005427,0.017880199942737818,159.41975380014628,[np.float64(0.08333333333333333)],[np.float64(0.2361111111111111)],[1],[0],[0],[1.4167520999908447],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
81,0,81,[np.float64(-0.05925925925925926)],[np.float64(0.008333333333333333)],[1],[0],[0],[1.3126303998287767],['target'],81,0,81,0,159.4476460001897,,5,159.43852930003777,159.4476460001897,159.4476460001897,0.018614100059494376,160.75120640010573,[np.float64(-0.05925925925925926)],[np.float64(0.008333333333333333)],[1],[0],[0],[1.3126303998287767],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
82,0,82,[np.float64(-0.2759259259259259)],[np.float64(0.4935185185185185)],[1],[0],[0],[1.6774955000728369],['target'],82,0,82,0,160.78567520016804,,10,160.7748980000615,160.78567520016804,160.78567520016804,0.02356360014528036,162.4524751000572,[np.float64(-0.2759259259259259)],[np.float64(0.4935185185185185)],[1],[0],[0],[1.6774955000728369],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
83,0,83,[np.float64(-0.14722222222222223)],[np.float64(-0.37777777777777777)],[1],[0],[0],[2.4500685001257807],['target'],83,0,83,0,162.4955414000433,,10,162.4848837000318,162.4955414000433,162.4955414000433,0.0321919999551028,164.93504460016266,[np.float64(-0.14722222222222223)],[np.float64(-0.37777777777777777)],[1],[0],[0],[2.4500685001257807],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
