pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,140,0,35,x,1,0.6286366999993334,None,35,0,140,0,,,,,395.423930799996,,395.408429099989,395.423930799996,396.40742939998745,396.40742939998745,396.40742939998745,396.40742939998745,396.4240497999999,397.40752509998856,397.40752509998856,398.04124619999493,x,1,0.6286366999993334,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,141,1,35,v,1,0.606413599991356,None,35,1,141,1,,,,,398.0575824999978,,398.04178989998763,398.0575824999978,399.0408041999908,399.0408041999908,399.0408041999908,399.0408041999908,399.05754309998883,400.0406409999996,400.0406409999996,400.6579608999891,v,1,0.606413599991356,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
50,c,142,2,35,c,1,0.8985259000037331,None,35,2,142,2,,,,,400.67399439998553,,400.6584060999885,400.67399439998553,401.6572516999877,401.6572516999877,401.6572516999877,401.6572516999877,401.67425809999986,402.6571837999945,402.6571837999945,403.5576402999868,c,1,0.8985259000037331,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-150,z,143,3,35,z,1,0.6615826999914134,None,35,3,143,3,,,,,403.5740092999913,,403.55806119999033,403.5740092999913,404.55733099998906,404.55733099998906,404.55733099998906,404.55733099998906,404.5738927999919,405.55726609998965,405.55726609998965,406.2250973999908,z,1,0.6615826999914134,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-50,x,144,0,36,x,1,1.1060504000051878,None,36,0,144,0,,,,,406.2403651999921,,406.22556249999616,406.2403651999921,407.24070089998713,407.24070089998713,407.24070089998713,407.24070089998713,407.24070089998713,408.2405602999934,408.2405602999934,409.3582456999866,x,1,1.1060504000051878,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,145,1,36,v,1,0.8067800999997417,None,36,1,145,1,,,,,409.37414439998975,,409.3592726999923,409.37414439998975,410.37401039998804,410.37401039998804,410.37401039998804,410.37401039998804,410.37401039998804,411.37418989998696,411.37418989998696,412.19121389999054,v,1,0.8067800999997417,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
50,c,146,2,36,c,1,1.1842816999997012,None,36,2,146,2,,,,,412.20726399999694,,412.1916899999924,412.20726399999694,413.1909738999966,413.1909738999966,413.1909738999966,413.1909738999966,413.2072078999918,414.190512199988,414.190512199988,415.39131879998604,c,1,1.1842816999997012,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-150,z,147,3,36,z,1,0.6039557000040077,None,36,3,147,3,,,,,415.4072856999992,,415.39203099999577,415.4072856999992,416.39067989999603,416.39067989999603,416.39067989999603,416.39067989999603,416.40718099998776,417.39041349999025,417.39041349999025,418.00784939998994,z,1,0.6039557000040077,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-50,x,148,0,37,x,1,2.0086344000010286,None,37,0,148,0,,,,,418.0240395999863,,418.00830079999287,418.0240395999863,419.00708679998934,419.00708679998934,419.00708679998934,419.00708679998934,419.02406209999754,420.00717579999764,420.00717579999764,422.0249027999962,x,1,2.0086344000010286,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,149,1,37,v,1,1.7833600000012666,None,37,1,149,1,,,,,422.040694899988,,422.0254098999867,422.040694899988,423.04073609999614,423.04073609999614,423.04073609999614,423.04073609999614,423.04073609999614,424.0405204999988,424.0405204999988,425.8246758999885,v,1,1.7833600000012666,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
