reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,55,62,61,1,6,t,1.370881199996802,None,6,1,61,3,175.76660649999394,,175.755076299989,175.76660649999394,176.74998569999298,176.74998569999298,176.76657009999326,178.13337709999178,t,1.370881199996802,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,62,2,6,t,1.2357448000111617,None,6,2,62,6,178.14992619999975,,178.13604199999827,178.14992619999975,179.13336159999017,179.13336159999017,179.1500345999957,180.3838085999887,t,1.2357448000111617,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,63,3,6,l,1.2780446999968262,None,6,3,63,0,180.3999610000028,,180.38874789999682,180.3999610000028,181.38335720000032,181.38335720000032,181.40004569999292,182.66743669999414,l,1.2780446999968262,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,64,4,6,l,1.3301565000001574,None,6,4,64,1,182.68333839999104,,182.6714964999992,182.68333839999104,183.666759300002,183.666759300002,183.68338709999807,185.00012949999655,l,1.3301565000001574,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,65,5,6,t,1.01420470001176,None,6,5,65,5,185.01655780000146,,185.00279499999306,185.01655780000146,186.00009760000103,186.00009760000103,186.01662339999166,187.01731209999707,t,1.01420470001176,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,66,6,6,l,0.8641865999961738,None,6,6,66,2,187.0333443999989,,187.01964240000234,187.0333443999989,188.0166906999948,188.0166906999948,188.0332616999949,188.88372769999842,l,0.8641865999961738,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,67,7,6,t,1.1364156000054209,None,6,7,67,7,188.89993869999307,,188.8859461999964,188.89993869999307,189.88345209999534,189.88345209999534,189.90083149999555,191.03388540000014,t,1.1364156000054209,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,68,8,6,t,1.4364029999997001,None,6,8,68,8,191.04980239999713,,191.0397948000027,191.04980239999713,192.03358160000062,192.03358160000062,192.05004639999242,193.48386409999512,t,1.4364029999997001,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,69,9,6,t,0.8828852000006009,None,6,9,69,4,193.50031509999826,,193.48820539998997,193.50031509999826,194.4832916000014,194.4832916000014,194.5004603999987,195.3672399999923,t,0.8828852000006009,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,70,0,7,t,2.775813600004767,None,7,0,70,9,195.38331769999058,,195.3721310999972,195.38331769999058,196.3666194999969,196.3666194999969,196.38336130000243,199.15017329998955,t,2.775813600004767,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
