stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
19,0.5,11.0,34.25287619995652,,34.236842299986165,34.25287619995652,34.736799100006465,34.736799100006465,34.752838099957444,35.03625010000542,35.403235199977644,left,-11.0,1,1,0.6597946000401862,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
20,0.5,11.0,35.41995329997735,,35.4034171999665,35.41995329997735,35.902955700003076,35.902955700003076,35.91960480000125,36.203542799979914,36.436378499958664,right,11.0,0,0,0.5277897999621928,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
21,0.5,11.5,36.45294779998949,,36.43649779999396,36.45294779998949,36.936315900005866,36.936315900005866,36.95303549995879,37.23748929996509,37.40323769999668,right,11.5,0,0,0.46367209998425096,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
22,0.5,12.0,37.420330599998124,,37.40336019999813,37.420330599998124,37.903436099993996,37.903436099993996,37.9200708999997,38.2032554000034,38.33727309998358,left,-12.0,0,0,0.43027100001927465,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
23,0.5,12.5,38.353140599967446,,38.337463499978185,38.353140599967446,38.83677789999638,38.83677789999638,38.8535313999746,39.1370004999917,39.30407620000187,right,12.5,1,1,0.4600839000195265,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
24,0.5,12.5,39.32002250000369,,39.30421909998404,39.32002250000369,39.80347499996424,39.80347499996424,39.82032850000542,40.102979699964635,40.236976599961054,left,-12.5,0,0,0.43101259996183217,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
25,0.5,13.0,40.25434049998876,,40.237104999949224,40.25434049998876,40.736946299963165,40.736946299963165,40.75335279997671,41.036209999991115,41.18710669997381,left,-13.0,1,1,0.43426399998134,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
26,0.5,13.0,41.20301569998264,,41.18739109998569,41.20301569998264,41.686791399959475,41.686791399959475,41.70319450000534,41.98867239995161,42.28783469996415,left,-13.0,1,1,0.5853022999945097,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
27,0.5,13.0,42.30431039998075,,42.28804079996189,42.30431039998075,42.803035099990666,42.803035099990666,42.803035099990666,43.10337490000529,43.45441349997418,left,-13.0,1,1,0.6490373999695294,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
28,0.5,12.5,43.47073849994922,,43.454624599951785,43.47073849994922,43.969714399951044,43.969714399951044,43.969714399951044,44.27062450000085,44.370223699952476,left,-12.5,1,1,0.39083700004266575,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
